district,name,votes,percent_votes
24018,Robin Fortin Green Party/Parti Vert,987,2.1
24019,Philip Toone NDP-New Democratic Party/NPD-Nouveau Parti démocratique,12427,33.8
24019,Daniel Côté Bloc Québécois/Bloc Québécois,11650,31.6
24019,Régent Bastien Conservative/Conservateur,6292,17.1
24019,Jules Duguay Liberal/Libéral,5533,15
24019,Julien Leblanc Green Party/Parti Vert,913,2.5
24020,Françoise Boivin NDP-New Democratic Party/NPD-Nouveau Parti démocratique,35262,61.8
24020,Richard Nadeau ** Bloc Québécois/Bloc Québécois,8619,15.1
24020,Steve MacKinnon Liberal/Libéral,7975,14
24020,Jennifer Gearey Conservative/Conservateur,4532,7.9
24020,Jonathan Meijer Green Party/Parti Vert,639,1.1
24041,Jean-François Fortin Bloc Québécois/Bloc Québécois,12633,36.1
24041,Nancy Charest Liberal/Libéral,8964,25.6
24041,Joanie Boulet NDP-New Democratic Party/NPD-Nouveau Parti démocratique,7484,21.4
24041,Allen Cormier Conservative/Conservateur,5253,15
24041,Louis Drainville Green Party/Parti Vert,707,2
24021,Marjolaine Boutin-Sweet NDP-New Democratic Party/NPD-Nouveau Parti démocratique,22314,48.2
24021,Daniel Paillé ** Bloc Québécois/Bloc Québécois,14451,31.2
24021,Gilbert Thibodeau Liberal/Libéral,5064,10.9
24021,Audrey Castonguay Conservative/Conservateur,3126,6.7
24021,Yaneisy Delgado Dihigo Green Party/Parti Vert,798,1.7
24021,Hugo Samson Veillette Rhinoceros/Rhinocéros,246,0.5
24021,Marianne Breton Fontaine Communist/Communiste,180,0.4
24021,Christine Dandenault Marxist-Leninist/Marxiste-Léniniste,143,0.3
24022,Paulina Ayala NDP-New Democratic Party/NPD-Nouveau Parti démocratique,17545,36.4
24022,Pablo Rodriguez ** Liberal/Libéral,14641,30.4
24022,Martin Laroche Bloc Québécois/Bloc Québécois,8935,18.5
24022,Gérard Labelle Conservative/Conservateur,5992,12.4
24022,Gaëtan Bérard Green Party/Parti Vert,770,1.6
24022,Valery Chevrefils-Latulippe Rhinoceros/Rhinocéros,181,0.4
24022,Jean-Paul Bédard Marxist-Leninist/Marxiste-Léniniste,170,0.4
24023,Nycole Turmel NDP-New Democratic Party/NPD-Nouveau Parti démocratique,35194,59.2
24023,Marcel Proulx ** Liberal/Libéral,12051,20.3
24023,Nancy Brassard-Fortin Conservative/Conservateur,6058,10.2
24023,Dino Lemay Bloc Québécois/Bloc Québécois,5019,8.4
24023,Roger Fleury Green Party/Parti Vert,1125,1.9
24024,Tyrone Benskin NDP-New Democratic Party/NPD-Nouveau Parti démocratique,23293,44.7
24024,Thierry St-Cyr ** Bloc Québécois/Bloc Québécois,12635,24.2
24024,Mark Bruneau Liberal/Libéral,10054,19.3
24024,Pierre Lafontaine Conservative/Conservateur,4678,9
24024,Richard Noël Green Party/Parti Vert,1377,2.6
24024,Eileen Studd Marxist-Leninist/Marxiste-Léniniste,121,0.2
24025,Francine Raynault NDP-New Democratic Party/NPD-Nouveau Parti démocratique,27050,47.3
24025,Pierre A. Paquette ** Bloc Québécois/Bloc Québécois,18804,32.9
24025,Michel Morand Conservative/Conservateur,5525,9.7
24025,François Boucher Liberal/Libéral,3545,6.2
24025,Annie Durette Green Party/Parti Vert,2227,3.9
24026,Claude Patry NDP-New Democratic Party/NPD-Nouveau Parti démocratique,22900,43.4
24026,Jean-Pierre Blackburn ** Conservative/Conservateur,18569,35.2
24026,Pierre Forest Bloc Québécois/Bloc Québécois,9554,18.1
24026,Claude Ringuette Liberal/Libéral,1043,2
24026,France Bergeron Green Party/Parti Vert,652,1.2
24027,Francis Scarpaleggia ** Liberal/Libéral,18457,34.1
24027,Alain Ackad NDP-New Democratic Party/NPD-Nouveau Parti démocratique,16253,30
24027,Larry Smith Conservative/Conservateur,15394,28.5
24027,Bruno Tremblay Green Party/Parti Vert,2315,4.3
24027,Éric Taillefer Bloc Québécois/Bloc Québécois,1689,3.1
24028,Ève Péclet NDP-New Democratic Party/NPD-Nouveau Parti démocratique,23033,48.3
24028,Ginette Beaudry Bloc Québécois/Bloc Québécois,15475,32.5
24028,Olivier L. Coulombe Liberal/Libéral,4369,9.2
24028,Mathieu Drolet Conservative/Conservateur,3664,7.7
24028,David J. Cox Green Party/Parti Vert,898,1.9
24028,Claude Brunelle Marxist-Leninist/Marxiste-Léniniste,213,0.4
24029,Hélène LeBlanc NDP-New Democratic Party/NPD-Nouveau Parti démocratique,17691,42.1
24029,Lise Zarac ** Liberal/Libéral,11172,26.6
24029,Carl Dubois Bloc Québécois/Bloc Québécois,6151,14.7
24029,Chang-Tao Jimmy Yu Conservative/Conservateur,5516,13.1
24029,Lorraine Banville Green Party/Parti Vert,946,2.3
24029,Yves Le Seigle Marxist-Leninist/Marxiste-Léniniste,288,0.7
24029,Guillaume Berger-Richard Rhinoceros/Rhinocéros,208,0.5
24030,Marc-André Morin NDP-New Democratic Party/NPD-Nouveau Parti démocratique,24800,43.8
24030,Johanne Deschamps ** Bloc Québécois/Bloc Québécois,17799,31.5
24030,Jean-Marc Lacoste Liberal/Libéral,7169,12.7
24030,Guy Joncas Conservative/Conservateur,5246,9.3
24030,François Beauchamp Green Party/Parti Vert,1423,2.5
24030,Mikaël St-Louis Marxist-Leninist/Marxiste-Léniniste,149,0.3
24031,Hélène Laverdière NDP-New Democratic Party/NPD-Nouveau Parti démocratique,23373,46.6
24031,Gilles Duceppe ** Bloc Québécois/Bloc Québécois,17991,35.9
24031,Philippe Allard Liberal/Libéral,4976,9.9
24031,Charles K. Langford Conservative/Conservateur,1764,3.5
24031,Olivier Adam Green Party/Parti Vert,1324,2.6
24031,François Yo Gourd Rhinoceros/Rhinocéros,398,0.8
24031,Sylvain Archambault Communist/Communiste,137,0.3
24031,Serge Lachapelle Marxist-Leninist/Marxiste-Léniniste,77,0.2
24031,Dimitri Mourkes Independent/Indépendant,73,0.1
24032,José Nunez-Melo NDP-New Democratic Party/NPD-Nouveau Parti démocratique,22050,43.3
24032,Nicole Demers ** Bloc Québécois/Bloc Québécois,11567,22.7
24032,Eva Nassif Liberal/Libéral,9422,18.5
24032,Robert Malo Conservative/Conservateur,6366,12.5
24032,Jocelyne Leduc Green Party/Parti Vert,1260,2.5
24032,Yvon Breton Marxist-Leninist/Marxiste-Léniniste,224,0.4
24033,François Pilon NDP-New Democratic Party/NPD-Nouveau Parti démocratique,25703,47.6
24033,Karine Joizil Liberal/Libéral,11108,20.6
24033,Zaki Ghavitian Conservative/Conservateur,8587,15.9
24033,Mohamedali Jetha Bloc Québécois/Bloc Québécois,7022,13
24033,Brent Neil Green Party/Parti Vert,966,1.8
24033,Stéphane Bakhos Pirate Party/Parti Pirate,369,0.7
24033,Polyvios Tsakanikas Marxist-Leninist/Marxiste-Léniniste,194,0.4
24034,Steven Blaney ** Conservative/Conservateur,25850,43.9
24034,Nicole Laliberté NDP-New Democratic Party/NPD-Nouveau Parti démocratique,19890,33.8
24034,Danielle-Maude Gosselin Bloc Québécois/Bloc Québécois,8757,14.9
24034,Francis Laforesterie Liberal/Libéral,3421,5.8
24034,Sacha Dougé Green Party/Parti Vert,903,1.5
24035,Pierre Nantel NDP-New Democratic Party/NPD-Nouveau Parti démocratique,27119,51.9
24035,Jean Dorion ** Bloc Québécois/Bloc Québécois,14181,27.2
24035,Kévan Falsafi Liberal/Libéral,5321,10.2
24035,Richard Bélisle Conservative/Conservateur,4339,8.3
24035,Valérie St-Amant Green Party/Parti Vert,1032,2
24035,Serge Patenaude Marxist-Leninist/Marxiste-Léniniste,228,0.4
24036,Jacques Gourde ** Conservative/Conservateur,22460,39.9
24036,Tanya Fredette NDP-New Democratic Party/NPD-Nouveau Parti démocratique,21683,38.5
24036,Gaston Gourde Bloc Québécois/Bloc Québécois,8381,14.9
24036,Nicole Larouche Liberal/Libéral,2866,5.1
24036,Richard Domm Green Party/Parti Vert,936,1.7
24037,Denis Blanchette NDP-New Democratic Party/NPD-Nouveau Parti démocratique,23373,38.7
24037,Pascal-Pierre Paillé ** Bloc Québécois/Bloc Québécois,14640,24.2
24037,Pierre Paul-Hus Conservative/Conservateur,13207,21.8
24037,Jean Beaupré Liberal/Libéral,8110,13.4
24037,Michelle Fontaine Green Party/Parti Vert,996,1.6
24037,Marie-Claude Bouffard CHP Canada/PHC Canada,143,0.2
24038,Alexandrine Latendresse NDP-New Democratic Party/NPD-Nouveau Parti démocratique,22629,39.9
24038,Josée Verner ** Conservative/Conservateur,21334,37.6
24038,France Gagné Bloc Québécois/Bloc Québécois,8148,14.4
24038,Philippe Mérel Liberal/Libéral,3612,6.4
24038,Jean Cloutier Green Party/Parti Vert,857,1.5
24038,Daniel Arseneault CHP Canada/PHC Canada,175,0.3
24039,Jonathan Genest-Jourdain NDP-New Democratic Party/NPD-Nouveau Parti démocratique,16437,48.9
24039,Gérard Asselin ** Bloc Québécois/Bloc Québécois,10495,31.2
24039,Gordon Ferguson Conservative/Conservateur,3878,11.5
24039,André Forbes Liberal/Libéral,1882,5.6
24039,Jacques Gélineau Green Party/Parti Vert,898,2.7
24040,Alain Giguère NDP-New Democratic Party/NPD-Nouveau Parti démocratique,29107,49.7
24040,Marie-France Charbonneau Bloc Québécois/Bloc Québécois,15470,26.4
24040,Eduardo Gonzalo Agurto Catalán Liberal/Libéral,7035,12
