district	district_name	results_type	surname	given_name	party	votes	percent_votes	rejected_ballots	total_ballots
12008	Sackville--Preston--Chezzetcook	validated	Hogg	Sybil	People's Party	816	1.6	320	49857
12008	Sackville--Preston--Chezzetcook	validated	Samson	Darrell	Liberal	19925	40.2	320	49857
12008	Sackville--Preston--Chezzetcook	validated	Stickland	Matt	NDP-New Democratic Party	11860	23.9	320	49857
12009	South Shore--St. Margarets	preliminary	Foster	Steven	Independent	379	0.7	0	52521
12009	South Shore--St. Margarets	preliminary	Hepburn	Jessika	NDP-New Democratic Party	8361	15.9	0	52521
12009	South Shore--St. Margarets	preliminary	Jordan	Bernadette	Liberal	21887	41.7	0	52521
12009	South Shore--St. Margarets	preliminary	Matthews	Jason	VCP	126	0.2	0	52521
12009	South Shore--St. Margarets	preliminary	McMahon	Shawn	Independent	165	0.3	0	52521
12009	South Shore--St. Margarets	preliminary	Monk	Robert	People's Party	665	1.3	0	52521
12009	South Shore--St. Margarets	preliminary	Perkins	Rick	Conservative	14744	28.1	0	52521
12009	South Shore--St. Margarets	preliminary	Schulthies	Kevin	Christian Heritage Party	124	0.2	0	52521
12009	South Shore--St. Margarets	preliminary	Trappenberg	Thomas	Green Party	6070	11.6	0	52521
12009	South Shore--St. Margarets	validated	Foster	Steven	Independent	376	0.7	439	52957
12009	South Shore--St. Margarets	validated	Hepburn	Jessika	NDP-New Democratic Party	8361	15.9	439	52957
12009	South Shore--St. Margarets	validated	Jordan	Bernadette	Liberal	21886	41.7	439	52957
12009	South Shore--St. Margarets	validated	Matthews	Jason	VCP	125	0.2	439	52957
12009	South Shore--St. Margarets	validated	McMahon	Shawn	Independent	165	0.3	439	52957
12009	South Shore--St. Margarets	validated	Monk	Robert	People's Party	667	1.3	439	52957
12009	South Shore--St. Margarets	validated	Perkins	Rick	Conservative	14744	28.1	439	52957
12009	South Shore--St. Margarets	validated	Schulthies	Kevin	Christian Heritage Party	124	0.2	439	52957
12009	South Shore--St. Margarets	validated	Trappenberg	Thomas	Green Party	6070	11.6	439	52957
12010	Sydney--Victoria	preliminary	Battiste	Jaime	Liberal	12536	30.9	0	40576
12010	Sydney--Victoria	preliminary	Foster	Lois	Green Party	2249	5.5	0	40576
12010	Sydney--Victoria	preliminary	Joy	Randy	VCP	254	0.6	0	40576
12010	Sydney--Victoria	preliminary	MacKinnon	Archie	Independent	5679	14	0	40576
12010	Sydney--Victoria	preliminary	MacNeil	Kenzie	Independent	480	1.2	0	40576
12010	Sydney--Victoria	preliminary	McDavid	Jodi	NDP-New Democratic Party	8150	20.1	0	40576
12010	Sydney--Victoria	preliminary	Orrell	Eddie	Conservative	11228	27.7	0	40576
12010	Sydney--Victoria	validated	Battiste	Jaime	Liberal	12536	30.9	528	41093
12010	Sydney--Victoria	validated	Foster	Lois	Green Party	2249	5.5	528	41093
12010	Sydney--Victoria	validated	Joy	Randy	VCP	248	0.6	528	41093
12010	Sydney--Victoria	validated	MacKinnon	Archie	Independent	5679	14	528	41093
12010	Sydney--Victoria	validated	MacNeil	Kenzie	Independent	480	1.2	528	41093
12010	Sydney--Victoria	validated	McDavid	Jodi	NDP-New Democratic Party	8146	20.1	528	41093
12010	Sydney--Victoria	validated	Orrell	Eddie	Conservative	11227	27.7	528	41093
12011	West Nova	preliminary	Cook	Gloria Jane	VCP	453	1	0	46846
12011	West Nova	preliminary	Deveau	Jason	Liberal	17034	36.4	0	46846
12011	West Nova	preliminary	Dubois	Matthew	NDP-New Democratic Party	5020	10.7	0	46846
12011	West Nova	preliminary	Green	Judy N	Green Party	5949	12.7	0	46846
12011	West Nova	preliminary	d'Entremont	Chris	Conservative	18390	39.3	0	46846
12011	West Nova	validated	Cook	Gloria Jane	VCP	434	0.9	512	47310
12011	West Nova	validated	Deveau	Jason	Liberal	17025	36.4	512	47310
12011	West Nova	validated	Dubois	Matthew	NDP-New Democratic Party	5010	10.7	512	47310
12011	West Nova	validated	Green	Judy N	Green Party	5939	12.7	512	47310
12011	West Nova	validated	d'Entremont	Chris	Conservative	18390	39.3	512	47310
13001	Acadie--Bathurst	preliminary	Cormier	Serge	Liberal	26519	55.1	0	48097
13001	Acadie--Bathurst	preliminary	Kryszko	Robert	Green Party	4271	8.9	0	48097
13001	Acadie--Bathurst	preliminary	Savoie	Martine	Conservative	10344	21.5	0	48097
13001	Acadie--Bathurst	preliminary	Thériault	Daniel	NDP-New Democratic Party	6963	14.5	0	48097
13001	Acadie--Bathurst	validated	Cormier	Serge	Liberal	26547	55.1	924	49067
13001	Acadie--Bathurst	validated	Kryszko	Robert	Green Party	4277	8.9	924	49067
13001	Acadie--Bathurst	validated	Savoie	Martine	Conservative	10352	21.5	924	49067
13001	Acadie--Bathurst	validated	Thériault	Daniel	NDP-New Democratic Party	6967	14.5	924	49067
13002	Beauséjour	preliminary	Bélanger	Jean-Marc	NDP-New Democratic Party	3937	7.3	0	53630
13002	Beauséjour	preliminary	Cormier	Vincent	Conservative	9435	17.6	0	53630
13002	Beauséjour	preliminary	LeBlanc	Dominic	Liberal	24957	46.5	0	53630
13002	Beauséjour	preliminary	Mercier	Nancy	People's Party	1050	2	0	53630
13002	Beauséjour	preliminary	Reinsborough	Laura	Green Party	14251	26.6	0	53630
13002	Beauséjour	validated	Bélanger	Jean-Marc	NDP-New Democratic Party	3940	7.3	475	54160
13002	Beauséjour	validated	Cormier	Vincent	Conservative	9438	17.6	475	54160
13002	Beauséjour	validated	LeBlanc	Dominic	Liberal	24948	46.5	475	54160
13002	Beauséjour	validated	Mercier	Nancy	People's Party	1054	2	475	54160
13002	Beauséjour	validated	Reinsborough	Laura	Green Party	14305	26.6	475	54160
